address,key1,key2,key3
eip155:1:0x94d863173EE77439E4292284fF13fAD54b3BA182,Akropolis Delphi,ADEL,
eip155:1:0xb6c4267C4877BB0D6b1685Cfd85b0FBe82F105ec,Relevant,REL,
eip155:1:0x5d60d8d7eF6d37E16EBABc324de3bE57f135e0BC,MyBit,MYB,
eip155:1:0x5299d6F7472DCc137D7f3C4BcfBBB514BaBF341A,Synthetic Monero,sXMR,
eip155:1:0x3D3D35bb9bEC23b06Ca00fe472b50E7A4c692C30,Vidya,VIDYA,
eip155:1:0xf04a8ac553FceDB5BA99A64799155826C136b0Be,Flixxo,FLIXX,
eip155:1:0x5dE83a4b2CA7D85476bb5cA5435E1BF1bbFdE9a2,Nutraceutical Finance,NUTRA,
eip155:1:0xD71eCFF9342A5Ced620049e616c5035F1dB98620,Synthetic Euros,sEUR,
eip155:1:0xCDB7eCFd3403Eef3882c65B761ef9B5054890a47,Hurify,HUR,
eip155:1:0x910Dfc18D6EA3D6a7124A6F8B5458F281060fa4c,X8X Token,X8X,
eip155:1:0xB983E01458529665007fF7E0CDdeCDB74B967Eb6,Fulcrum ETH iToken,iETH,
eip155:1:0x08f5a9235B08173b7569F83645d2c7fB55e8cCD8,Tierion,TNT,
eip155:1:0xd957E08ac5421E2C28510586B57d095E5094836a,VorteX Network,VTX,
eip155:1:0x986b4AFF588a109c09B50A03f42E4110E29D353F,Curve sETH Pool yVault,yvCurve-sETH,
eip155:1:0x6c936D4AE98E6d2172dB18c16C4b601C99918EE6,Life Crypto,LIFE,
eip155:1:0x5CA9a71B1d01849C0a95490Cc00559717fCF0D1d,Aeternity,AE,
eip155:1:0x16B0a1a87ae8aF5C792faBC429C4FE248834842B,Algory,ALG,
eip155:1:0x74e1698344eC7563EEE5bCB4D1eF894f9bA78e82,MemeCoin Universe,MCU,
eip155:1:0xdBee1d8C452c781C17Ea20115CbaD0d5f627a680,Strike SXP,sSXP,
eip155:1:0x1fC52f1ABade452Dd4674477D4711951700b3d27,Noku,NOKU,
eip155:1:0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5,Compound Ether,cETH,
eip155:1:0xd2dF355C19471c8bd7D8A3aa27Ff4e26A21b4076,Synthetic Aave,sAAVE,
eip155:1:0x27054b13b1B798B345b591a4d22e6562d47eA75a,AirSwap,AST,
eip155:1:0x15874d65e649880c2614e7a480cb7c9A55787FF6,EthereumMax,EMAX,
eip155:1:0x45804880De22913dAFE09f4980848ECE6EcbAf78,PAX Gold,PAXG,
eip155:1:0x00d8318E44780EdEEFcF3020A5448F636788883C,dAppstore,DAPPX,
eip155:1:0xfffffffFf15AbF397dA76f1dcc1A1604F45126DB,FalconSwap,FSW,
eip155:1:0xcAAfF72A8CbBfc5Cf343BA4e26f65a257065bFF1,Wrapped KRT,KRT,
eip155:1:0x40FD72257597aA14C7231A7B1aaa29Fce868F677,Sora,XOR,
eip155:1:0xA017ac5faC5941f95010b12570B812C974469c2C,Proxeus,XES,
eip155:1:0x058Ef0Ba85E053e55d357C8A95BC6Ea7458Def8a,TradeKax,TKX,
eip155:1:0x1254E59712e6e727dC71E0E3121Ae952b2c4c3b6,Marginless,MRS,
eip155:1:0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,Sushi,SUSHI,
eip155:1:0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26,Origin Protocol,OGN,
eip155:1:0x1B2a76Da77D03b7FC21189d9838f55Bd849014aF,DeFiScale,DFC,
eip155:1:0x7B0C06043468469967DBA22d1AF33d77d44056c8,Morpheus.Network,MRPH,
